sample_id,Necropsied_by,Sample_condition,Death_year,Death_month,Death_day,Death_date,Submitters_name,Address,Location,UTM_zone,UTM_easting,UTM_northing,Location precision,Animal_detailsSpecies,Sex,Age Class (estimate),Age Class (actual),Age,CC,Age Range,Aging Notes,Nutritional_condition,External_observations,Weight_kg,Total_length_mm,Length_of_tail_mm,Length_of_hindfoot_mm,Height_of_ear_notch_mm,Chest_girth_mm,Internal_observations,General_comments,Disposition_of_carcass,Necropsy_Form_Notes,Photo_Number,SI_Muscle(2),SI_Muscle(3),SI_Skin(4),SI_Skin(5),Hair_Top,Hair_Bottom,Nobuto(6),Skull(7),GI(8)_shipped_to_Nagorsen,GI(8)_frozen_prey_remains,GI(8)_dried_ETOHpreyremains,SI_Femur(9),SI_Femur(9)a,PM4(10)_shipped_to_Matson's,SI FemaleReprOrg,muscle_c13,muscle_n15,bone_c13,bone_n15,bothair_c13,bothair_n15,tophair_c13,tophair_n15,AREA,salmon,salmon_sd,coast,coast_sd
1421-S3,,,,,,01-03-2018,,,Study sites 2-18B and 2-18C in Session 3,8,690188,5902399,,,F,,na,,,,,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.11267161,12.84356687,,,1391500,0.47150788,0.094000969,145.6192251,108.4859817
1421-S5,,,,,,01-04-2018,,,Study site 2-18B in Session 5,8,690188,5902399,,,F,,na,,,,,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-18.78508346,13.34495633,1391500,0.47150788,0.094000969,145.6192251,108.4859817
14-4851,R. Weir,Frozen,2013,na,na,na,James Alton,QCC,Trapline TR0613T009,8,679663,5918523,Trapline,M-MACA,M,Adult,Juvenile,0,A,,BR,Excellent,,1.19,661,233,92,na,150,"lots of omental and renal fat
older adult based on tooth wear",non-breeding condition,HG Landfill,"No info on bag

UTM is 24 S km on mainline (centre of 2 traplines (TR0613T009 and T005 - seems to be area trapped by James Alton, based on road km of carcasses)",,MFLNR,MFLNR,Victoria,Victoria,JP_4_MOE,JP_4_MOE,MOE,UBC,2014-07-16,Disposed of,MOE,MFLNR,MFLNR,2015-02-24,,-24.86839534,9.671811358,-21.97427739,7.789240636,-24.52927951,7.849262402,-24.89779845,7.508090731,3142000,0.158644956,0.014068008,9571.005325,499.6123116
14-4852,R. Weir,Frozen,2013,na,na,na,James Alton,QCC,Trapline TR0613T009,8,679663,5918523,Trapline,M-MACA,M,Adult,Juvenile,0,A,,,Excellent,,1.03,625,206,88,na,141,"lots of omental and renal fat
young male","non-breeding condition
tail has dried",HG Landfill,"No info on bag

UTM is 24 S km on mainline (centre of 2 traplines (TR0613T009 and T005 - seems to be area trapped by James Alton, based on road km of carcasses)",,MFLNR,MFLNR,Victoria,Victoria,JM_4_MOE,JM_4_MOE,MOE,UBC,2014-07-16,Disposed of,MOE,MFLNR,MFLNR,2015-02-24,,-22.66610268,10.70620431,-21.24413176,7.678968702,-22.2564194,6.833658616,-23.38255837,7.522924282,3142000,0.158644956,0.014068008,9571.005325,499.6123116
14-4853,R. Weir,Frozen,2013,na,na,na,James Alton,QCC,Trapline TR0613T009,8,679663,5918523,Trapline,M-MACA,M,Adult,Juvenile,0,A,,,Excellent,,1.19,645,221,85,na,142,lots of omental and renal fat,Non  breeding condition,HG Landfill,"No info on bag

UTM is 24 S km on mainline (centre of 2 traplines (TR0613T009 and T005 - seems to be area trapped by James Alton, based on road km of carcasses)",,MFLNR,MFLNR,Destroyed,Victoria,JP_4_MOE,JP_4_MOE,MOE,UBC,2014-07-16,Disposed of,MOE,MFLNR,MFLNR,2015-02-24,,-23.7216742,9.10714752,-21.58363925,8.112909184,-23.05324358,7.86904047,-23.56877804,8.790698433,3142000,0.158644956,0.014068008,9571.005325,499.6123116
14-4854,R. Weir,Frozen,2013,na,na,na,James Alton,QCC,Trapline TR0613T009,8,679663,5918523,Trapline,M-MACA,M,Adult,Juvenile,0,A,,,Excellent,,1.22,622,189,89,na,149,lots of omental and renal fat,Non  breeding condition,HG Landfill,"No info on bag

UTM is 24 S km on mainline (centre of 2 traplines (TR0613T009 and T005 - seems to be area trapped by James Alton, based on road km of carcasses)",,MFLNR,MFLNR,Victoria,Victoria,JM_4_MOE,JM_4_MOE,MOE,UBC,2014-07-16,Disposed of,MOE,MFLNR,MFLNR,2015-02-24,,-21.43999315,12.24988251,-21.44865435,6.961180092,-20.49321313,11.03353133,-21.83007436,9.779601828,3142000,0.158644956,0.014068008,9571.005325,499.6123116
14-4855,R. Weir,Frozen,2013,12,30,30/12/2013,James Alton,QCC,Trapline TR0613T009,8,679827,5920215,<1 km,M-MACA,F,Adult,Juvenile,0,A,,BR,Excellent,,0.91,573,191,76,na,137,"Lots of omental and renal fat
older adult - chipped canines and wear",reproductive organs encased in fat,HG Landfill,"Dec 30, 2013 
26S Mainline",,MFLNR,MFLNR,Victoria,Victoria,JP_5_MOE,JP_5_MOE,MOE,UBC,2014-07-16,Disposed of,MOE,MFLNR,MFLNR,2015-02-24,MFLNR,-23.41196148,9.639177546,-20.89542075,8.789856337,-21.57230713,5.954523499,-22.50340549,6.913759791,2931300,0.215104373,0.038934561,10728.39454,499.9057709
14-4856,R. Weir,Frozen,2014,1,3,03/01/2014,James Alton,QCC,Trapline TR0613T009,8,681402,5925233,<1 km,M-MACA,F,Juvenile,Juvenile,0,A,,BR,Excellent,,0.78,567,197,81,na,135,"lots of omental and renal fat
reporductive organs thin - non reproductive",,HG Landfill,"Jan 3, 2014

33S mainline",,MFLNR,MFLNR,Victoria,Victoria,JP_4_MOE,JP_4_MOE,MOE,UBC,2014-07-16,Disposed of,MOE,MFLNR,MFLNR,2015-02-24,MFLNR,-23.82360496,10.16230744,-22.71362654,7.977111339,-20.82056771,11.30547977,-22.83272028,11.15121084,1727500,0.302749732,0.017673996,15388.33086,499.7551229
14-4857,R. Weir,Frozen,2013,12,3,03/12/2013,James Alton,QCC,Trapline TR0613T005,8,690363,5906991,<1 km,M-MACA,M,Adult,Juvenile,0,A,,,Good,,1.17,619,193,88,na,140,"lots of omental and renal fat
adult, some wear on teeth",,HG Landfill,5S mainline,,MFLNR,MFLNR,Victoria,Victoria,JP_4_MOE,JP_4_MOE,MOE,UBC,2014-07-16,Disposed of,MOE,MFLNR,MFLNR,2015-02-24,,-24.38226398,8.995401436,-22.16039295,7.252175475,-21.94964699,8.118244125,-22.09470231,13.57105744,3105600,1.180420094,0.027282296,3022.018704,498.602609
14-4858,R. Weir,Frozen,2013,12,17,17/12/2013,James Alton,QCC,Trapline TR0613T005,8,682647,5915466,<1 km,M-MACA,F,Juvenile,Juvenile,0,A,,BR,Excellent,,0.83,588,189,78,na,124,Lots of omental and renal fat,juvenile - thin non-reproductive,HG Landfill,19S mainline,,MFLNR,MFLNR,Victoria,Victoria,JP_4_MOE,JP_4_MOE,MOE,UBC,2014-07-16,Disposed of,MOE,MFLNR,MFLNR,2015-02-24,MFLNR,-24.11959623,9.75982376,-22.79441296,8.513155464,-20.4304865,10.00012728,-19.8786882,10.22658616,600700,0.697293864,0.039996322,11080.40855,499.961158
