Code	d13C	d15N
1	-20.31745002	7.939686237
1	-21.64122368	10.38691381
1	-21.01240495	7.595284738
1	-21.18	8.32
1	-21.10163632	7.062554927
1	-21.22551046	7.865811595
1	-20.02351139	7.269612021
1	-22.22584017	7.533981529
1	-21.42002118	7.747378143
1	-21.28954709	8.296573591
1	-19.17633824	12.21401058
1	-23.72503866	9.299603939
1	-20.67962442	7.538057903
1	-20.88433168	9.803200088
2	-22.16039295	7.252175475
2	-21.43229254	8.785772191
2	-21.75543822	7.069409954
2	-19.39933803	6.594628014
2	-21.28299105	6.711026167
2	-20.98745591	6.917275526
2	-21.15414182	7.953627501
2	-24.05836255	7.136798358
2	-22.52546576	8.939948692
2	-22.87826722	9.788429964
2	-21.20220463	8.103719856
2	-19.07516973	6.294443304
2	-20.62136048	7.096977937
2	-21.2789006	7.934227809
2	-21.4210438	8.810277065
2	-21.80247842	7.180702925
2	-21.69305884	7.535002565
2	-20.71441826	5.561339148
2	-21.21243076	7.951585428
2	-20.91075994	7.283827604
2	-22.48558386	8.763309389
2	-20.76554891	8.115972293
2	-20.84326749	7.47374038
2	-19.60386062	7.082683427
2	-20.77372981	8.943011801
2	-20.48535296	8.326305798
2	-21.17254885	7.435962032
2	-22.62772706	7.355300154
2	-21.83622465	7.15926116
2	-20.87394588	7.854586968
2	-20.84326749	5.119230375
2	-21.68487793	7.54214982
2	-21.18993327	7.798429964
2	-21.03040566	6.829466393
2	-21.64806387	8.74595177
2	-21.84951861	6.85601334
2	-23.47036011	6.464956388
2	-25.08506593	6.750846588
2	-21.82702113	8.037352488
2	-21.80247842	7.850502822
2	-20.2112927	5.947290918
2	-21.31571466	7.646295536
2	-20.65547946	7.76384378
2	-21.50475216	8.650339481
2	-21.56039055	6.729598795
2	-19.88	9.68
2	-21.5467434	7.496438386
2	-19.4471817	8.691958998
2	-20.37098885	7.635863767
2	-22.02544347	9.790714233
2	-20.56414852	8.750226321
2	-19.95737519	8.828262914
2	-21.93726188	9.096708796
2	-21.93831166	10.60437578
2	-20.87278409	8.273682857
3	-21.97427739	7.789240636
3	-21.24413176	7.678968702
3	-21.58363925	8.112909184
3	-21.44865435	6.961180092
3	-20.89542075	8.789856337
3	-22.71362654	7.977111339
3	-22.79441296	8.513155464
3	-21.72066939	6.188255516
3	-22.27185776	7.215418163
3	-20.73078007	7.58809646
3	-21.19095589	7.803535146
3	-21.80452365	7.691221139
3	-21.15516443	5.217249872
3	-21.01097601	7.149050795
3	-22.56637028	7.358363263
3	-21.43842822	5.343858389
3	-22.29333263	7.611580298
3	-21.52637293	6.782498717
3	-22.29333263	7.333858389
3	-23.35685008	6.67018471
3	-20.67760419	7.523771165
3	-21.43331515	6.779435608
3	-20.85553884	7.598306824
3	-20.79520468	8.049604926
3	-22.08676481	7.34202668
3	-21.27276492	7.981195485
3	-20.56920722	6.393483838
3	-20.09778266	7.829061057
3	-21.71453371	6.57012314
3	-20.98336546	6.445556696
3	-21.84645078	7.405330939
3	-17.97483821	11.96017445
3	-22.52444315	7.505392509
3	-21.25844834	8.478440226
3	-21.3024207	7.105146229
3	-20.36059419	7.500287327
3	-20.27162686	7.217460236
3	-20.91587301	7.646295536
3	-21.09585288	8.308948179
3	-20.49251125	8.924633145
3	-21.43536038	8.400841457
3	-20.97416194	5.092683427
3	-20.81	7.43
3	-19.94687738	9.751175693
3	-21.01506646	6.440451514
3	-22.50194567	6.953011801
3	-21.97325478	8.356936891
3	-21.24310915	6.915233453
3	-21.40161415	7.404309903
3	-20.61829264	7.62791688
3	-20.09982789	5.896239097
3	-20.56102632	7.969964084
