Code	d13C	d15N
1	-20.89542075	8.789856337
1	-22.71362654	7.977111339
1	-22.79441296	8.513155464
1	-21.43229254	8.785772191
1	-21.15516443	5.217249872
1	-21.15414182	7.953627501
1	-22.52546576	8.939948692
1	-22.87826722	9.788429964
1	-22.29333263	7.333858389
1	-21.20220463	8.103719856
1	-19.07516973	6.294443304
1	-20.62136048	7.096977937
1	-21.2789006	7.934227809
1	-20.79520468	8.049604926
1	-21.4210438	8.810277065
1	-21.80247842	7.180702925
1	-21.69305884	7.535002565
1	-22.22584017	7.533981529
1	-20.91075994	7.283827604
1	-20.56920722	6.393483838
1	-20.09778266	7.829061057
1	-21.17254885	7.435962032
1	-17.97483821	11.96017445
1	-22.62772706	7.355300154
1	-21.42002118	7.747378143
1	-21.83622465	7.15926116
1	-20.87394588	7.854586968
1	-20.84326749	5.119230375
1	-21.18993327	7.798429964
1	-21.03040566	6.829466393
1	-20.36059419	7.500287327
1	-21.64806387	8.74595177
1	-21.43536038	8.400841457
1	-21.84951861	6.85601334
1	-25.08506593	6.750846588
1	-20.97416194	5.092683427
1	-21.82702113	8.037352488
1	-21.80247842	7.850502822
1	-21.31571466	7.646295536
1	-20.91687489	8.1925248
1	-20.31745002	7.939686237
1	-21.10163632	7.062554927
1	-19.4471817	8.691958998
1	-20.87278409	8.273682857
1	-20.67962442	7.538057903
2	-21.97427739	7.789240636
2	-21.24413176	7.678968702
2	-21.58363925	8.112909184
2	-21.44865435	6.961180092
2	-22.16039295	7.252175475
2	-21.72066939	6.188255516
2	-22.27185776	7.215418163
2	-20.73078007	7.58809646
2	-21.01506646	6.440451514
2	-21.75543822	7.069409954
2	-21.19095589	7.803535146
2	-19.39933803	6.594628014
2	-21.28299105	6.711026167
2	-21.80452365	7.691221139
2	-22.50194567	6.953011801
2	-21.01097601	7.149050795
2	-22.56637028	7.358363263
2	-21.43842822	5.343858389
2	-20.98745591	6.917275526
2	-24.05836255	7.136798358
2	-21.97325478	8.356936891
2	-22.29333263	7.611580298
2	-21.24310915	6.915233453
2	-21.52637293	6.782498717
2	-21.40161415	7.404309903
2	-23.35685008	6.67018471
2	-20.67760419	7.523771165
2	-21.43331515	6.779435608
2	-20.85553884	7.598306824
2	-20.71441826	5.561339148
2	-21.21243076	7.951585428
2	-22.48558386	8.763309389
2	-22.08676481	7.34202668
2	-21.27276492	7.981195485
2	-20.61829264	7.62791688
2	-20.76554891	8.115972293
2	-20.84326749	7.47374038
2	-19.60386062	7.082683427
2	-20.77372981	8.943011801
2	-20.48535296	8.326305798
2	-21.71453371	6.57012314
2	-20.98336546	6.445556696
2	-21.84645078	7.405330939
2	-22.52444315	7.505392509
2	-21.25844834	8.478440226
2	-21.68487793	7.54214982
2	-21.3024207	7.105146229
2	-20.27162686	7.217460236
2	-20.91587301	7.646295536
2	-20.09982789	5.896239097
2	-21.09585288	8.308948179
2	-20.49251125	8.924633145
2	-23.47036011	6.464956388
2	-20.2112927	5.947290918
2	-20.56102632	7.969964084
2	-20.81	7.43
2	-21.64122368	10.38691381
2	-20.65547946	7.76384378
2	-21.01240495	7.595284738
2	-21.50475216	8.650339481
2	-21.28954709	8.296573591
2	-21.18	8.32
2	-21.22551046	7.865811595
2	-21.56039055	6.729598795
2	-19.94687738	9.751175693
2	-19.88	9.68
2	-21.5467434	7.496438386
2	-20.37098885	7.635863767
2	-22.02544347	9.790714233
2	-20.56414852	8.750226321
2	-19.95737519	8.828262914
2	-21.93726188	9.096708796
2	-19.17633824	12.21401058
2	-20.02351139	7.269612021
2	-21.93831166	10.60437578
2	-23.72503866	9.299603939
2	-20.88433168	9.803200088
