Code	d13C	d15N
1	-18.78508346	13.34495633
1	-24.89779845	7.508090731
1	-23.38255837	7.522924282
1	-23.56877804	8.790698433
1	-21.83007436	9.779601828
1	-22.50340549	6.913759791
1	-22.83272028	11.15121084
1	-22.09470231	13.57105744
1	-19.8786882	10.22658616
1	-22.16919018	9.889370104
1	-20.90387651	11.1976893
1	-23.77655999	6.974082898
1	-22.00943331	9.231749347
1	-24.65571287	7.040339426
1	-20.61376586	13.08550587
1	-23.70991295	14.45711488
1	-23.39824003	9.481941906
1	-23.2237816	10.07528394
1	-20.9293592	13.06572781
1	-24.23132804	7.652470627
1	-21.02148894	10.59742493
1	-22.55927139	6.143404047
1	-23.78832124	8.335802872
1	-24.2764128	6.863325718
1	-24.82429068	6.5666547
1	-23.02090016	7.499190601
1	-23.01501954	8.899477807
1	-22.11430439	8.24185705
1	-23.96571998	8.166700392
1	-21.90456223	9.973426893
1	-23.10322886	5.898156005
1	-22.84252132	6.291739556
1	-20.21976424	9.172415144
1	-23.23848315	9.582810052
1	-21.14204167	9.773668407
1	-23.68541036	8.674996736
1	-18.86036062	11.97002285
1	-20.85291113	10.6458812
1	-20.57848213	9.700489556
1	-20.15703761	11.55765013
1	-21.49977946	10.86047324
1	-22.91308877	7.340966057
1	-23.49723048	8.034187337
1	-23.33845371	8.778831593
1	-23.70991295	10.7902611
1	-21.59876992	11.06220953
1	-23.44234469	9.866625326
1	-20.50791468	10.9089295
1	-23.24534387	8.131099869
1	-22.13194625	9.543253916
1	-20.34031697	10.98111945
1	-22.88368567	8.581050914
1	-21.44391356	11.24812337
1	-24.07353137	7.762238903
1	-23.3090506	8.016387076
1	-21.5360433	9.204060052
1	-22.81213811	8.981556789
1	-23.37373744	8.098466057
1	-22.97973581	9.380084856
1	-22.40931555	8.993423629
1	-21.63797406	10.79520561
1	-19.08382423	11.90969974
1	-22.96111385	6.955293734
1	-22.72490889	6.019791123
1	-22.13880697	9.055724543
1	-24.02942671	7.323165796
1	-20.88231423	10.61819191
1	-23.59132042	7.134285248
1	-22.68668485	8.333825065
1	-22.93661126	9.419640992
1	-21.22044995	9.163515013
1	-22.27210106	6.35107376
1	-24.2764128	8.14
1	-24.09019313	6.79410248
1	-23.22	6.32
1	-22.22211578	6.214605091
1	-20.70295528	10.0060607
1	-20.33541646	10.64192559
1	-19.05050071	12.12132507
1	-21.89868161	8.742242167
1	-21.22535047	10.69631527
1	-20.80096564	11.8414654
1	-23.48154883	6.865303525
1	-23.47860852	6.778280026
1	-21.84477591	7.651481723
1	-21.84967643	6.67444517
1	-23.10126865	6.89595953
1	-23.15517435	7.432934073
1	-22.97385519	6.247238903
1	-23.15713455	6.097914491
1	-21.14008146	8.588962141
1	-22.93661126	5.592584856
1	-23.18163714	5.440293734
1	-23.57955918	5.816077023
1	-23.79420186	6.220538512
1	-23.32277205	3.947049608
1	-20.10185715	10.6131789
1	-23.00966984	8.599455329
1	-23.29790196	7.110486961
1	-23.33712036	8.470973223
1	-23.60476207	7.738835511
1	-21.20675903	10.17594808
1	-20.81462141	12.64094448
1	-19.44442965	11.07269721
1	-22.42204624	9.234030855
1	-20.92322606	11.23492689
1	-22.85162133	7.321994592
1	-23.1064853	8.125844356
1	-22.95473779	8.801447538
1	-23.03302476	8.626069438
1	-23.92924366	8.341827997
1	-21.2387138	9.635754092
1	-20.3519498	11.34555711
1	-22.02244399	9.549117468
1	-24.01550815	9.129785171
1	-22.1126556	9.017828599
1	-21.85648063	10.28835899
1	-19.24326118	12.85846987
1	-22.29458267	9.137757199
1	-21.54910806	9.119220373
1	-21.53832477	10.39246156
2	-19.11267161	12.84356687
2	-24.52927951	7.849262402
2	-22.2564194	6.833658616
2	-23.05324358	7.86904047
2	-20.49321313	11.03353133
2	-21.57230713	5.954523499
2	-20.82056771	11.30547977
2	-21.94964699	8.118244125
2	-20.4304865	10.00012728
2	-20.75490077	10.43722258
2	-19.35727312	12.75026762
2	-23.01207923	7.639614883
2	-22.99345726	8.281413185
2	-23.58838011	6.599288512
2	-22.09960283	9.524464752
2	-20.36775987	11.54380548
2	-22.40931555	8.78970953
2	-21.22339026	9.843880548
2	-20.94014034	10.90398499
2	-23.79616206	7.047261749
2	-21.04795173	9.965515666
2	-22.92583012	5.984190601
2	-22.44753959	9.993204961
2	-23.43450386	6.822780679
2	-23.99120267	6.765424282
2	-22.7004063	7.251964752
2	-22.65630164	9.111103133
2	-20.16585854	8.997379243
2	-24.01962567	7.273720627
2	-21.58406837	9.624343995
2	-23.04932317	6.858381201
2	-21.73304411	5.960456919
2	-19.51703	10.26020888
2	-21.38510735	10.06935052
2	-20.4295064	9.342506527
2	-22.01433382	9.146703655
2	-18.76235027	11.35294713
2	-19.62484139	10.7052154
2	-22.05157776	8.808498695
2	-22.61121688	9.108136423
2	-22.28876282	7.71477154
2	-22.08196097	8.596873368
2	-22.54358974	8.650274151
2	-22.4240171	8.229001305
2	-22.091762	8.815421018
2	-22.01041341	9.462163838
2	-22.66806289	8.816409922
2	-22.60435616	9.901236945
2	-23.06402472	8.073743473
2	-20.96562303	9.766746084
2	-20.43832733	9.994193864
2	-22.85526266	8.394148172
2	-22.35835017	9.385029373
2	-22.95327302	7.308332245
2	-21.42235128	9.893325718
2	-21.22241016	8.653240862
2	-21.1234197	9.995182768
2	-22.09862273	8.002542428
2	-21.88496016	9.149670366
2	-20.74705994	11.05726501
2	-21.41745077	9.348439948
2	-18.9103459	11.90969974
2	-21.19692747	8.340747389
2	-21.50075957	6.651700392
2	-21.25867399	9.527431462
2	-23.50311111	7.441834204
2	-19.73461298	11.17494452
2	-22.65336133	7.131318538
2	-21.90064181	8.407003916
2	-21.85457695	9.615443864
2	-20.54711882	9.102203003
2	-20.5980842	6.322395561
2	-23.62072353	8.657196475
2	-23.8882918	6.94243799
2	-23.15909476	9.106158616
2	-22.8366407	6.56368799
2	-19.71697112	11.15714426
2	-20.13939575	10.66961488
2	-18.72608644	12.31613903
2	-20.76862222	10.07528394
2	-22.2848424	9.594676893
2	-21.00286697	11.65357376
2	-23.73441554	6.832669713
2	-23.96964039	6.78816906
2	-22.01433382	7.746416449
2	-21.22731068	6.583466057
2	-22.6729634	7.828495431
2	-24.02354609	7.276687337
2	-22.80821769	6.670489556
2	-22.39853441	6.247238903
2	-20.93131941	8.337780679
2	-22.78371511	5.758720627
2	-22.90132753	6.736746084
2	-22.63963988	6.361951697
2	-22.85722287	6.897937337
2	-22.81801873	5.144611619
2	-20.90185715	10.22131789
2	-22.70966984	8.499455329
2	-22.89790196	7.028486961
