Domain,Form,Dominant Type,Subtype,Group,Source,Common_name,Sample_ID,Specimen_ID,Location Code,UTM Zone,Easting,Northing,Season,Day,Month,Year,Sample type,lab_id,weight,perc_c,perc_n,c13,n15,c_n
Marine,Fish,Large fish,Salmon,salmon,salmon,Chinook salmon,SI0068,SP0047,6,unk,unk,unk,Winter,17,2,2016,muscle,240918-843,1.093,46.0341853,15.465419,-19.46508451,14.07440927,3.473140845
Marine,Fish,Large fish,Salmon,salmon,salmon,Chinook salmon,SI0071,SP0048,6,unk,unk,unk,Winter,17,2,2016,muscle,240918-844,0.837,36.2905619,8.5430094,-20.43342681,15.3065829,4.956629223
Marine,Fish,Large fish,Salmon,salmon,salmon,Chinook salmon,SI0072,SP0305,6,unk,unk,unk,Winter,17,2,2016,muscle,240918-848,0.437,43.2786545,13.0826312,-18.56926987,13.98540796,3.859955308
Marine,Fish,Large Fish,Salmon,salmon,salmon,Chum Salmon,SI0935,SP0640,9,8,692104,5871829,Fall,14,10,2017,muscle,190918-667,0.933,44.6149416,14.9266775,-21.40764973,10.75564948,3.4875529
Marine,Fish,Large Fish,Salmon,salmon,salmon,Chum Salmon,SI0936,SP0642,9,8,692104,5871829,Fall,14,10,2017,muscle,190918-666,1.092,45.35288,15.1288003,-21.6203322,10.93068538,3.497872743
Marine,Fish,Large Fish,Salmon,salmon,salmon,Chum Salmon,SI0937,SP0641,9,8,692104,5871829,Fall,14,10,2017,muscle,190918-670,0.936,4.3358323,0.9812803,-19.52781114,8.541494778,5.15564518
Marine,Fish,Large Fish,Salmon,salmon,salmon,Chum Salmon,SI0938,SP0639,9,8,692104,5871829,Fall,14,10,2017,muscle,180918-618,0.836,44.8608524,14.5800484,-21.86437798,9.753890339,3.590146579
Marine,Fish,Large Fish,Salmon,salmon,salmon,Chum Salmon,SI0939,SP0638,9,8,692104,5871829,Fall,14,10,2017,muscle,190918-671,0.99,42.8271114,14.4446862,-21.17340498,11.2580124,3.459507657
Marine,Fish,Large Fish,Salmon,salmon,salmon,Chum Salmon,SI0945,SP0635,9,8,690756,5870197,Fall,14,10,2017,muscle,180918-648,0.776,40.104908,14.2699076,-19.13282941,12.74730091,3.279291234
Marine,Fish,Large Fish,Salmon,salmon,salmon,Chum Salmon,SI0946,SP0633,9,8,690756,5870197,Fall,14,10,2017,muscle,180918-631,0.766,46.6164796,14.8556858,-20.67551238,11.09187663,3.661427107
Marine,Fish,Large Fish,Salmon,salmon,salmon,Chum Salmon,SI0947,SP0637,9,8,690756,5870197,Fall,14,10,2017,muscle,180918-628,1.097,46.1984469,14.6749787,-22.07804055,11.1996671,3.673275657
Marine,Fish,Large Fish,Salmon,salmon,salmon,Chum Salmon,SI0948,SP0636,9,8,690756,5870197,Fall,14,10,2017,muscle,180918-623,0.66,45.1396069,14.9610966,-20.8460504,9.924970627,3.520448296
Marine,Fish,Large Fish,Salmon,salmon,salmon,Chum Salmon,SI0949,SP0634,9,8,690756,5870197,Fall,14,10,2017,muscle,180918-624,0.997,47.9260557,15.668489,-21.49389884,11.08989883,3.569013542
Marine,Fish,Large Fish,Salmon,salmon,salmon,Chum Salmon,SI0954,SP0646,10,unk,unk,unk,Fall,11,10,2017,muscle,180918-652,0.865,44.7018215,15.2527531,-20.67453228,10.2671312,3.4196417
Marine,Fish,Large Fish,Salmon,salmon,salmon,Chum Salmon,SI0956,SP0645,10,unk,unk,unk,Fall,11,10,2017,muscle,190918-669,1.013,38.4856458,14.0078813,-20.84997082,10.59544713,3.205752209
Marine,Fish,Large Fish,Salmon,salmon,salmon,Chum Salmon,SI0957,SP0657,10,unk,unk,unk,Fall,8,10,2017,muscle,180918-662,0.827,41.9476517,13.3830888,-21.04599152,11.26394582,3.657252272
Marine,Fish,Large Fish,Salmon,salmon,salmon,Chum Salmon,SI0958,SP0654,10,unk,unk,unk,Fall,22,10,2017,muscle,190918-668,1.111,31.0309545,10.7841389,-21.31355979,10.44810052,3.357478855
Marine,Fish,Large Fish,Salmon,salmon,salmon,Chum Salmon,SI0960,SP0652,10,unk,unk,unk,Fall,26,10,2017,muscle,180918-660,0.938,43.5420028,14.1319477,-20.94896127,11.62786227,3.595091966
Marine,Fish,Large Fish,Salmon,salmon,salmon,Chum Salmon,SI0961,SP0651,10,unk,unk,unk,Fall,22,10,2017,muscle,180918-616,1.011,43.8505382,14.5095381,-20.11489316,12.42096279,3.52634635
Marine,Fish,Large Fish,Salmon,salmon,salmon,Chum Salmon,SI0962,SP0650,10,unk,unk,unk,Fall,22,10,2017,muscle,180918-629,0.789,46.1047526,15.2146109,-21.04305121,11.55765013,3.535806342
Marine,Fish,Large Fish,Salmon,salmon,salmon,Chum Salmon,SI0963,SP0648,10,unk,unk,unk,Fall,10,10,2017,muscle,180918-622,0.903,45.955346,15.2256969,-21.19496726,11.50919386,3.521782126
Marine,Fish,Large Fish,Salmon,salmon,salmon,Chum Salmon,SI0964,SP0649,10,unk,unk,unk,Fall,10,10,2017,muscle,180918-644,0.92,43.7408079,14.3245032,-20.84114988,11.33514687,3.562959257
Marine,Fish,Large Fish,Salmon,salmon,salmon,Chum Salmon,SI0965,SP0644,9,unk,unk,unk,Fall,11,10,2017,muscle,180918-655,1.087,45.9860267,14.6626267,-19.62190108,12.3942624,3.659466147
Marine,Fish,Large Fish,Salmon,salmon,salmon,Chum Salmon,SI0966,SP0643,9,unk,unk,unk,Fall,11,10,2017,muscle,180918-638,0.887,44.1893779,15.4341445,-19.78851868,11.84443211,3.340711332
Marine,Fish,Large Fish,Salmon,salmon,salmon,Chum Salmon,SI0967,SP0658,10,unk,unk,unk,Fall,9,10,2017,muscle,180918-632,0.922,40.229561,13.5335242,-21.46351563,9.823113577,3.468470573
Marine,Fish,Large Fish,Salmon,salmon,salmon,Chum Salmon,SI0969,SP0661,10,unk,unk,unk,Fall,13,10,2012,muscle,180918-621,1.007,45.674884,15.1449346,-22.04569714,10.41744452,3.518954694
Marine,Fish,Large Fish,Salmon,salmon,salmon,Chum Salmon,SI0970,SP0660,10,unk,unk,unk,Fall,9,10,2017,muscle,180918-630,0.702,42.2702877,13.8747784,-19.7110905,11.82168734,3.554780366
